$SYS/broker/version,mosquitto version 2.0.18
$SYS/broker/load/sockets/1min,0.39
$SYS/broker/load/connections/1min,0.39
$SYS/broker/load/messages/received/5min,1471532.92
$SYS/broker/load/messages/sent/5min,1425623.45
$SYS/broker/load/publish/received/5min,1471315.07
$SYS/broker/load/publish/sent/5min,1425472.73
$SYS/broker/load/bytes/received/5min,34405575.44
$SYS/broker/load/bytes/sent/5min,33352374.43
$SYS/broker/load/sockets/5min,0.82
$SYS/broker/load/connections/5min,0.82
$SYS/broker/load/messages/received/15min,916646.99
$SYS/broker/load/messages/sent/15min,889425.59
$SYS/broker/load/publish/received/15min,913968.17
$SYS/broker/load/publish/sent/15min,881356.90
$SYS/broker/load/bytes/received/15min,21380390.52
$SYS/broker/load/bytes/sent/15min,20641399.30
$SYS/broker/messages/stored,108
$SYS/broker/store/messages/count,108
$SYS/broker/store/messages/bytes,847
$SYS/broker/messages/received,48155843
$SYS/broker/messages/sent,51377467
$SYS/broker/publish/messages/received,46140746
$SYS/broker/publish/messages/sent,44386986
$SYS/broker/bytes/received,1095875195
$SYS/broker/bytes/sent,1065162041
$SYS/broker/publish/bytes/received,293448454
$SYS/broker/publish/bytes/sent,282449876
$SYS/broker/uptime,7051 seconds
$SYS/broker/load/messages/received/1min,2109274.27
$SYS/broker/load/messages/sent/1min,2107077.12
$SYS/broker/load/publish/received/1min,2108925.75
$SYS/broker/load/publish/sent/1min,2106894.46
$SYS/broker/load/bytes/received/1min,49622435.81
$SYS/broker/load/bytes/sent/1min,49578157.83
$SYS/broker/load/sockets/1min,0.32
$SYS/broker/load/connections/1min,0.32
$SYS/broker/load/messages/received/5min,1500666.93
$SYS/broker/load/messages/sent/5min,1456410.32
$SYS/broker/load/publish/received/5min,1500456.92
$SYS/broker/load/publish/sent/5min,1456265.03
$SYS/broker/load/bytes/received/5min,35137597.66
$SYS/broker/load/bytes/sent/5min,34122314.61
$SYS/broker/load/sockets/5min,0.79
$SYS/broker/load/connections/5min,0.79
$SYS/broker/load/messages/received/15min,933217.92
$SYS/broker/load/messages/sent/15min,906327.21
$SYS/broker/load/publish/received/15min,930571.64
$SYS/broker/load/publish/sent/15min,898356.53
$SYS/broker/load/bytes/received/15min,21785614.03
$SYS/broker/load/bytes/sent/15min,21055599.95
$SYS/broker/messages/stored,142
$SYS/broker/store/messages/count,142
$SYS/broker/store/messages/bytes,1136
$SYS/broker/messages/received,48573981
$SYS/broker/messages/sent,51795605
$SYS/broker/publish/messages/received,46558884
$SYS/broker/publish/messages/sent,44805124
$SYS/broker/bytes/received,1105910507
$SYS/broker/bytes/sent,1075197353
$SYS/broker/publish/bytes/received,296375420
$SYS/broker/publish/bytes/sent,285376842
$SYS/broker/uptime,7062 seconds
$SYS/broker/load/messages/received/1min,2134449.76
$SYS/broker/load/messages/sent/1min,2132620.65
$SYS/broker/load/publish/received/1min,2134159.62
$SYS/broker/load/publish/sent/1min,2132468.59
$SYS/broker/load/bytes/received/1min,50394181.50
$SYS/broker/load/bytes/sent/1min,50357320.50
$SYS/broker/load/sockets/1min,0.27
$SYS/broker/load/connections/1min,0.27
$SYS/broker/load/messages/received/5min,1527989.30
$SYS/broker/load/messages/sent/5min,1485326.05
$SYS/broker/load/publish/received/5min,1527786.85
$SYS/broker/load/publish/sent/5min,1485185.98
$SYS/broker/load/bytes/received/5min,35824959.63
$SYS/broker/load/bytes/sent/5min,34846229.40
$SYS/broker/load/sockets/5min,0.76
$SYS/broker/load/connections/5min,0.76
$SYS/broker/load/messages/received/15min,949330.19
$SYS/broker/load/messages/sent/15min,922766.14
$SYS/broker/load/publish/received/15min,946716.06
$SYS/broker/load/publish/sent/15min,914892.29
$SYS/broker/load/bytes/received/15min,22179738.37
$SYS/broker/load/bytes/sent/15min,21458592.38
$SYS/broker/messages/stored,176
$SYS/broker/store/messages/count,176
$SYS/broker/store/messages/bytes,1426
$SYS/broker/messages/received,48988235
$SYS/broker/messages/sent,52209859
$SYS/broker/publish/messages/received,46973138
$SYS/broker/publish/messages/sent,45219378
$SYS/broker/bytes/received,1115852603
$SYS/broker/bytes/sent,1085139449
$SYS/broker/publish/bytes/received,299275198
